epoch,train_loss,val_bce,val_l1_linear,val_l1_mel,val_waveform
0,2.734292378028234,0.48907145399313706,0.22045477880881384,0.0145366987070212,0.0421346420278916
1,2.652855154540804,0.47349688640007603,0.19885081969774687,0.012814842451077241,0.039927434749328174
2,2.770531098047892,0.4694450016205127,0.1953260783965771,0.012790847569704056,0.036760782106564596
3,2.8573743436071606,0.4482356653763698,0.18210892837781173,0.011667380181069557,0.035114650399639055
4,2.9211597674422793,0.4434164602022905,0.17544906987593725,0.01121709395486575,0.03488210875254411
5,2.970849278900358,0.4368518774326031,0.17164019323312318,0.010926474243975602,0.034296412307482496
6,2.994190341896481,0.44428542485603917,0.16748859561406648,0.010707316561960258,0.033932313036460146
7,3.009000579516093,0.4345682721871596,0.16398959091076484,0.010380787201798879,0.03305663010821892
8,3.032563438018163,0.4303791316655966,0.16250546276569366,0.010261099069164349,0.03290984593331814
9,3.033796767393748,0.4209057642863347,0.16428873401421767,0.010541127923016366,0.03273441957739683
10,3.0476845072375403,0.4273545994208409,0.15890692403683296,0.010016706199027024,0.03189630792118036
11,3.052049752738741,0.4196286132702461,0.15557904312243828,0.009832871433060903,0.03124166953449066
12,3.0622956487867565,0.41907949860279375,0.152991289129624,0.009527687771389117,0.03127312803497681
13,3.0407356884744434,0.41642807538692767,0.15361098028146303,0.00953376336166492,0.03150275034400133
14,3.0663392411337957,0.42052250642042893,0.15091331761616927,0.009464361776526157,0.03045089915394783
15,3.068746096558041,0.41108400088090163,0.15037149764024293,0.00941000499117833,0.030911766135921843
16,3.058092027902603,0.4297600228052873,0.14929005045157212,0.00916772479048142,0.031616997690154955
17,3.076738996638192,0.4130026400089264,0.14882282339609587,0.009210209290568646,0.030664002809386987
18,3.075906058152517,0.41272203968121457,0.14527605703243843,0.009026002138853073,0.029933701627529584
19,3.0571296976672278,0.41114603785368115,0.1439860348518078,0.00888736667827918,0.029949793162254188
